selectionOrdinal,name,family,renderCost,referenceStatus,route,outcome,cluster,refusalCode,primaryDiagnosticCode,diagnosticCodes,dispatch,refuse,similarity,minSimilarity,isPassing,noScoreCause,referenceAvailable,generatedAvailable,width,height
267,bitmap-image-srgb-legacy,IMAGE,non-blocking,trusted,gpu,rendered,other,,,,3,0,99.94354248046875,0.0,True,,True,True,1024,1024
268,bitmap_premul,IMAGE,non-blocking,trusted,gpu,rendered,other,,,,5,0,100.0,0.0,True,,True,True,512,512
269,bitmaprect_rounding,IMAGE,non-blocking,trusted,refusal,refused,other,unsupported.prepared-surface.sample-plan,unsupported.prepared-surface.sample-plan,unsupported.prepared-surface.sample-plan,0,0,,0.0,,generated-render-missing,True,False,640,480
270,bitmapshaders,IMAGE,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,0.0,,generated-render-missing,True,False,150,100
271,bitmap_subset_shader,IMAGE,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,0.0,,generated-render-missing,True,False,256,256
272,bleed_downscale,IMAGE,non-blocking,trusted,gpu,rendered,other,,,,7,0,30.561342592592595,0.0,True,,True,True,360,240
273,bmp_filter_quality_repeat,IMAGE,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,0.0,,generated-render-missing,True,False,1000,400
274,bug6783,IMAGE,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,0.0,,generated-render-missing,True,False,500,500
275,cgimage,IMAGE,non-blocking,trusted,gpu,rendered,other,,,,4,0,18.3615,0.0,True,,True,True,800,250
276,child_sampling_rt,IMAGE,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,0,0,,0.0,,generated-render-missing,True,False,256,256
