gm,refusalCode,rootCauseBucket,item
manypathatlases_128,unsupported.core_primitive.stencil_edge_fan_budget,unsupported core-primitive execution feature,none
manypathatlases_2048,unsupported.core_primitive.stencil_edge_fan_budget,unsupported core-primitive execution feature,none
pdf_crbug_772685,invalid.surface.prepared.frame-build-contract,invalid frame plan / preflight seal,none
perspective_clip,unsupported.core_primitive.stencil_edge_fan_budget,unsupported core-primitive execution feature,none
rrect_clip_aa,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported core-primitive execution feature,none
rrect_clip_bw,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported core-primitive execution feature,none
rrect_clip_draw_paint,unsupported.composite.clip,unsupported composite operation,none
simpleaaclip_path,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
simpleaaclip_rect,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
skbug1719,invalid.surface.prepared.frame-build-contract,invalid frame plan / preflight seal,none
skbug_9319,invalid.preflight.core_primitive_clip_producer_authority,invalid frame plan / preflight seal,3
strict_constraint_batch_no_red_allowed,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
strict_constraint_batch_no_red_allowed_manual,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
strict_constraint_no_red_allowed,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
strict_constraint_no_red_allowed_manual,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
windowrectangles,unsupported.recording.core_primitive_analytic_shape_clip,unsupported recording feature,none
color,reference-missing,missing reference artifact (chantier B),none
filter,reference-missing,missing reference artifact (chantier B),none
orientation,reference-missing,missing reference artifact (chantier B),none
p3_ovals,unsupported.core_primitive.stencil_edge_fan_budget,unsupported core-primitive execution feature,none
paint_alpha_normals_rt,unsupported.material.source_unimplemented,unsupported material feature,none
rect,reference-missing,missing reference artifact (chantier B),none
shader,unsupported.material.linear_gradient_capability_missing,unsupported material feature,none
