rowId,name,family,subfamily,classification,similarity,minSimilarity,isPassing,width,height,matchingPixels,totalPixels,maxDiff,meanDiff,fallbackReason,referencePath,generatedPath,diffPath,noScoreCause
gradients_color_space,gradients_color_space,GRADIENT,gradient-color-space-gated,expected-unsupported,0.24873770927451502,0.0,true,265,355,234,94075,238/238/191/0,35.23/42.9/36.08/0.0,unsupported.material.color_space,images/reference/gradients_color_space.png,images/generated/gradients_color_space.png,images/diff/gradients_color_space.png,
gradients_color_space_many_stops,gradients_color_space_many_stops,GRADIENT,gradient-many-stops-gated,expected-unsupported,0.0,0.0,true,500,500,0,250000,202/227/236/0,140.56/110.0/150.6/0.0,unsupported.material.gradient_many_stops,images/reference/gradients_color_space_many_stops.png,images/generated/gradients_color_space_many_stops.png,images/diff/gradients_color_space_many_stops.png,
gradients_color_space_tilemode,gradients_color_space_tilemode,GRADIENT,gradient-color-space-gated,expected-unsupported,0.0,0.0,true,360,105,0,37800,244/251/178/0,22.66/26.34/40.73/0.0,unsupported.material.color_space,images/reference/gradients_color_space_tilemode.png,images/generated/gradients_color_space_tilemode.png,images/diff/gradients_color_space_tilemode.png,
gradients_degenerate_2pt,gradients_degenerate_2pt,GRADIENT,gradient-linear,instrumented-existing,0.0,0.0,true,320,320,0,102400,202/245/240/0,190.05/97.47/225.68/0.0,none,images/reference/gradients_degenerate_2pt.png,images/generated/gradients_degenerate_2pt.png,images/diff/gradients_degenerate_2pt.png,
gradients_dup_color_stops,gradients_dup_color_stops,GRADIENT,gradient-linear,instrumented-existing,26.59549282720825,21.6,true,704,564,105599,397056,255/255/255/0,147.57/121.51/157.02/0.0,none,images/reference/gradients_dup_color_stops.png,images/generated/gradients_dup_color_stops.png,images/diff/gradients_dup_color_stops.png,
gradients,gradients,GRADIENT,gradient-linear,instrumented-existing,0.6349693251533742,0.0,true,840,815,4347,684600,255/255/255/0,47.23/44.49/43.34/0.0,none,images/reference/gradients.png,images/generated/gradients.png,images/diff/gradients.png,
gradients_hue_method,gradients_hue_method,GRADIENT,gradient-color-space-gated,expected-unsupported,0.0,0.0,true,285,155,0,44175,212/222/253/0,37.31/49.8/57.37/0.0,unsupported.material.color_space,images/reference/gradients_hue_method.png,images/generated/gradients_hue_method.png,images/diff/gradients_hue_method.png,
gradients_interesting,gradients_interesting,GRADIENT,gradient-linear,instrumented-existing,13.461538461538462,10.8,true,640,1300,112000,832000,214/245/236/0,82.43/119.01/159.75/0.0,none,images/reference/gradients_interesting.png,images/generated/gradients_interesting.png,images/diff/gradients_interesting.png,
gradients_local_perspective,gradients_local_perspective,GRADIENT,gradient-perspective-gated,expected-unsupported,2.0468886941279583,0.0,true,840,815,14013,684600,255/255/255/0,73.33/67.72/71.63/0.0,unsupported.material.perspective_shader,images/reference/gradients_local_perspective.png,images/generated/gradients_local_perspective.png,images/diff/gradients_local_perspective.png,
gradients_no_texture,gradients_no_texture,GRADIENT,gradient-linear,instrumented-existing,0.12601626016260165,0.0,true,640,615,496,393600,217/245/240/0,18.33/19.12/20.14/0.0,none,images/reference/gradients_no_texture.png,images/generated/gradients_no_texture.png,images/diff/gradients_no_texture.png,
gradients_powerless_hue,gradients_powerless_hue,GRADIENT,gradient-color-space-gated,no-score,,0.0,,512,512,,,0/0/0/0,0.0/0.0/0.0/0.0,unsupported.material.color_space,,images/generated/gradients_powerless_hue.png,,reference-missing
gradients_view_perspective,gradients_view_perspective,GRADIENT,gradient-perspective-gated,no-score,,0.0,,840,500,,,0/0/0/0,0.0/0.0/0.0/0.0,unsupported.material.perspective_shader,images/reference/gradients_view_perspective.png,,,generated-render-missing
hardstop_gradients,hardstop_gradients,GRADIENT,gradient-hard-stops,instrumented-existing,4.78363037109375,0.0,true,512,512,12540,262144,255/255/255/0,77.32/59.18/68.53/0.0,none,images/reference/hardstop_gradients.png,images/generated/hardstop_gradients.png,images/diff/hardstop_gradients.png,
hardstop_gradients_many,hardstop_gradients_many,GRADIENT,gradient-hard-stops,instrumented-existing,10.792,0.0,true,1000,2000,215840,2000000,212/242/14/0,124.56/134.69/9.41/0.0,none,images/reference/hardstop_gradients_many.png,images/generated/hardstop_gradients_many.png,images/diff/hardstop_gradients_many.png,
linear_gradient,linear_gradient,GRADIENT,gradient-linear,instrumented-existing,10.134,0.0,true,500,500,25335,250000,64/31/25/0,58.93/29.08/21.12/0.0,none,images/reference/linear_gradient.png,images/generated/linear_gradient.png,images/diff/linear_gradient.png,
linear_gradient_rt,linear_gradient_rt,GRADIENT,gradient-linear,instrumented-existing,13.854566486145433,0.0,true,266,143,5270,38038,168/189/240/0,41.42/15.21/14.07/0.0,none,images/reference/linear_gradient_rt.png,images/generated/linear_gradient_rt.png,images/diff/linear_gradient_rt.png,
